quote_id,original_text,processed_text,author,tags,source_url,compound_score,sentiment,predicted_sentiment,prediction_score,lda_dominant_topic,lda_topic_score,nmf_dominant_topic,nmf_topic_score
11,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",life make matter youre going mess sometimes universal truth good part get decide youre going mess girl friend theyll act like anyway remember come go one stay everything theyre true best friend dont let go also remember sister make best friend world lover well theyll come go baby hate say actually pretty much going break heart cant give give youll never find soulmate youll never find half make whole go everything fail doesnt mean youre gon na fail everything keep trying hold always always always believe dont sweetie keep head high keep chin importantly keep smiling life beautiful thing there much smile,Marilyn Monroe,"friends, heartbreak, inspirational, life, love, sisters",https://quotes.toscrape.com/page/2/,0.9797,Positive,Positive,0.6505273940472396,1,0.9966492770628668,2,0.2144728016996929
12,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",take great deal bravery stand enemy much stand friend,J.K. Rowling,"courage, friends",https://quotes.toscrape.com/page/2/,0.7906,Positive,Positive,0.577093903739341,1,0.9618035742159232,3,0.0691946644756526
13,"“If you can't explain it to a six year old, you don't understand it yourself.”",cant explain six year old dont understand,Albert Einstein,"simplicity, understand",https://quotes.toscrape.com/page/2/,0.0,Neutral,Neutral,0.4754957622420177,2,0.950498480606578,3,0.1632375161755042
14,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",may first last loved may love love else matter shes perfect arent either two may never perfect together make laugh cause think twice admit human making mistake hold onto give may thinking every second day give part know break heart dont hurt dont change dont analyze dont expect give smile make happy let know make mad miss shes,Bob Marley,love,https://quotes.toscrape.com/page/2/,0.976,Positive,Positive,0.0577920976474602,1,0.9939523675221882,1,0.1941056236812489
15,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",like nonsense wake brain cell fantasy necessary ingredient living,Dr. Seuss,fantasy,https://quotes.toscrape.com/page/2/,-0.0516,Negative,Negative,0.591284659517691,3,0.9621979916034068,3,0.0565864573833539
16,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",may gone intended go think ended needed,Douglas Adams,"life, navigation",https://quotes.toscrape.com/page/2/,0.0,Neutral,Neutral,0.5099893416382055,1,0.9509362546687824,1,0.0650586448595329
17,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",opposite love hate indifference opposite art ugliness indifference opposite faith heresy indifference opposite life death indifference,Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",https://quotes.toscrape.com/page/2/,-0.7269,Negative,Positive,0.0370058215164347,3,0.9786768141600338,2,0.109738750600456
18,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",lack love lack friendship make unhappy marriage,Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",https://quotes.toscrape.com/page/2/,0.1779,Positive,Positive,0.7497009547224787,2,0.950891117766442,1,0.1866397148079987
19,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",good friend good book sleepy conscience ideal life,Mark Twain,"books, contentment, friends, friendship, life",https://quotes.toscrape.com/page/2/,0.9081,Positive,Positive,0.6002472028381856,1,0.9571016901007692,3,0.1680125859187571
20,“Life is what happens to us while we are making other plans.”,life happens u making plan,Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans",https://quotes.toscrape.com/page/2/,0.0,Neutral,Neutral,0.4744780201838519,3,0.909429207509562,2,0.2830757587945787
21,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",love without knowing love simply without problem pride love way know way loving intimate hand upon chest hand intimate fall asleep eye close,Pablo Neruda,"love, poetry",https://quotes.toscrape.com/page/3/,0.9754,Positive,Positive,0.6589400955979665,2,0.9852921148896722,1,0.1964965908628216
22,“For every minute you are angry you lose sixty seconds of happiness.”,every minute angry lose sixty second happiness,Ralph Waldo Emerson,happiness,https://quotes.toscrape.com/page/3/,-0.34,Negative,Positive,0.093264295541838,2,0.9509728142496784,1,0.0334889184487437
23,"“If you judge people, you have no time to love them.”",judge people time love,Mother Teresa,attributed-no-source,https://quotes.toscrape.com/page/3/,0.6369,Positive,Positive,0.7087725134104885,2,0.9138687672098492,1,0.2466925404577938
24,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,anyone think sitting church make christian must also think sitting garage make car,Garrison Keillor,"humor, religion",https://quotes.toscrape.com/page/3/,0.0,Neutral,Neutral,0.4629827744265953,3,0.9718927833400602,1,0.1248423724704955
25,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,beauty eye beholder may necessary time time give stupid misinformed beholder black eye,Jim Henson,humor,https://quotes.toscrape.com/page/3/,-0.296,Negative,Negative,0.5353004124000157,2,0.9730227029833722,1,0.0766964874389508
26,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",today truer true one alive youer,Dr. Seuss,"comedy, life, yourself",https://quotes.toscrape.com/page/3/,0.7845,Positive,Positive,0.6429164715091054,3,0.9434528139749092,2,0.1334735889519608
27,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",want child intelligent read fairy tale want intelligent read fairy tale,Albert Einstein,"children, fairy-tales",https://quotes.toscrape.com/page/3/,0.765,Positive,Neutral,-0.0891422417740954,2,0.9693817038377748,3,0.4323880361131055
28,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",impossible live without failing something unless live cautiously might well lived case fail default,J.K. Rowling,,https://quotes.toscrape.com/page/3/,0.0777,Positive,Positive,0.5734471945458242,2,0.975633854930466,2,0.1146336956525932
29,“Logic will get you from A to Z; imagination will get you everywhere.”,logic get z imagination get everywhere,Albert Einstein,imagination,https://quotes.toscrape.com/page/3/,0.0,Neutral,Neutral,0.4608442257709182,1,0.932137839065438,1,0.0390021152446691
30,"“One good thing about music, when it hits you, you feel no pain.”",one good thing music hit feel pain,Bob Marley,music,https://quotes.toscrape.com/page/3/,-0.1027,Negative,Negative,0.4919501056044428,1,0.948870110060541,2,0.1547911201030727
31,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",read thing know learn place youll go,Dr. Seuss,"learning, reading, seuss",https://quotes.toscrape.com/page/4/,0.0,Neutral,Neutral,0.4449701937687613,2,0.9463636451623006,3,0.3538872560651196
32,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",course happening inside head harry earth mean real,J.K. Rowling,dumbledore,https://quotes.toscrape.com/page/4/,0.0,Neutral,Neutral,0.464585440649317,1,0.9571189594921896,1,0.0335817952057595
33,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",truth everyone going hurt got find one worth suffering,Bob Marley,friendship,https://quotes.toscrape.com/page/4/,-0.5106,Negative,Positive,-0.0259838884086666,3,0.9603571902471334,2,0.1951765264379474
34,“Not all of us can do great things. But we can do small things with great love.”,u great thing small thing great love,Mother Teresa,"misattributed-to-mother-teresa, paraphrased",https://quotes.toscrape.com/page/4/,0.9246,Positive,Positive,0.6612238477323842,2,0.9425477851714384,1,0.285427629094463
35,"“To the well-organized mind, death is but the next great adventure.”",wellorganized mind death next great adventure,J.K. Rowling,"death, inspirational",https://quotes.toscrape.com/page/4/,0.3612,Positive,Positive,-0.1223414181936296,3,0.9423955297558672,1,0.0741430899008578
36,“All you need is love. But a little chocolate now and then doesn't hurt.”,need love little chocolate doesnt hurt,Charles M. Schulz,"chocolate, food, humor",https://quotes.toscrape.com/page/4/,0.7726,Positive,Positive,0.7248867663366332,2,0.9381489310518812,1,0.2349454070799835
37,“We read to know we're not alone.”,read know alone,William Nicholson,"misattributed-to-c-s-lewis, reading",https://quotes.toscrape.com/page/4/,-0.25,Negative,Negative,0.5525433854547773,3,0.5394349943217329,3,0.4249546131776228
38,“Any fool can know. The point is to understand.”,fool know point understand,Albert Einstein,"knowledge, learning, understanding, wisdom",https://quotes.toscrape.com/page/4/,-0.4404,Negative,Negative,0.5875175226454727,2,0.9142183233785368,3,0.2396202790040456
39,“I have always imagined that Paradise will be a kind of library.”,always imagined paradise kind library,Jorge Luis Borges,"books, library",https://quotes.toscrape.com/page/4/,0.8225,Positive,Positive,0.6604084860360009,1,0.932407477931806,3,0.022906971408926
40,“It is never too late to be what you might have been.”,never late might,George Eliot,inspirational,https://quotes.toscrape.com/page/4/,0.0,Neutral,Neutral,0.4569085931636336,3,0.8837081990410004,3,0.0669055725960714
41,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",reader life thousand life dy said jojen man never read life one,George R.R. Martin,"read, readers, reading, reading-books",https://quotes.toscrape.com/page/5/,0.0,Neutral,Neutral,0.4568770803724615,2,0.9707415880052884,2,0.4373558007808205
42,“You can never get a cup of tea large enough or a book long enough to suit me.”,never get cup tea large enough book long enough suit,C.S. Lewis,"books, inspirational, reading, tea",https://quotes.toscrape.com/page/5/,0.0,Neutral,Neutral,-0.197936831762181,1,0.9656786941167484,3,0.274578340905687
43,“You believe lies so you eventually learn to trust no one but yourself.”,believe lie eventually learn trust one,Marilyn Monroe,,https://quotes.toscrape.com/page/5/,0.5106,Positive,Positive,0.0309273550439976,3,0.9430268048101952,2,0.1529341220327749
44,"“If you can make a woman laugh, you can make her do anything.”",make woman laugh make anything,Marilyn Monroe,"girls, love",https://quotes.toscrape.com/page/5/,0.5574,Positive,Positive,0.6389732153324892,1,0.9303999744976564,1,0.1094725255636085
45,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",life like riding bicycle keep balance must keep moving,Albert Einstein,"life, simile",https://quotes.toscrape.com/page/5/,0.3612,Positive,Positive,0.6016202303659606,1,0.9616909036444564,2,0.197913386000637
46,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,real lover man thrill kissing forehead smiling eye staring space,Marilyn Monroe,love,https://quotes.toscrape.com/page/5/,0.9186,Positive,Positive,0.6345766983203398,3,0.965693813206372,2,0.0689567418068781
47,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",wise girl kiss doesnt love listens doesnt believe leaf left,Marilyn Monroe,attributed-no-source,https://quotes.toscrape.com/page/5/,0.3678,Positive,Positive,0.6931367268610145,3,0.9651880513853908,1,0.2042661668209334
48,“Only in the darkness can you see the stars.”,darkness see star,Martin Luther King Jr.,"hope, inspirational",https://quotes.toscrape.com/page/5/,-0.25,Negative,Negative,0.5258663616611543,1,0.8869950750967014,2,0.0677628425185877
49,"“It matters not what someone is born, but what they grow to be.”",matter someone born grow,J.K. Rowling,dumbledore,https://quotes.toscrape.com/page/5/,0.0258,Neutral,Neutral,0.5022525311716457,3,0.9132236786138224,1,0.0701178224286838
50,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",love begin end way seem think love battle love war love growing,James Baldwin,love,https://quotes.toscrape.com/page/5/,0.9186,Positive,Positive,0.6783185370999891,2,0.9717691036594628,1,0.285393299205434
51,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",nothing would really friend notion loving people half nature,Jane Austen,"friendship, love",https://quotes.toscrape.com/page/6/,0.3224,Positive,Positive,0.2568629176470276,3,0.9601341898523744,3,0.096763320973806
52,“Do one thing every day that scares you.”,one thing every day scare,Eleanor Roosevelt,"attributed, fear, inspiration",https://quotes.toscrape.com/page/6/,-0.4939,Negative,Positive,-0.0195105632679813,3,0.9281253296494932,1,0.0904302002891895
53,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",good angel sin devil small girl big world trying find someone love,Marilyn Monroe,attributed-no-source,https://quotes.toscrape.com/page/6/,-0.2263,Negative,Negative,0.5116999231749897,3,0.9703721874256384,1,0.2118022675689033
54,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",physicist would probably musician often think music live daydream music see life term music,Albert Einstein,music,https://quotes.toscrape.com/page/6/,0.0,Neutral,Neutral,0.4852821109230534,2,0.9755245180190798,2,0.2528608966740022
55,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",read book everyone else reading think everyone else thinking,Haruki Murakami,"books, thought",https://quotes.toscrape.com/page/6/,0.0,Neutral,Neutral,0.5237973906069904,1,0.9598737599838164,3,0.3892803940053383
56,“The difference between genius and stupidity is: genius has its limits.”,difference genius stupidity genius limit,Alexandre Dumas fils,misattributed-to-einstein,https://quotes.toscrape.com/page/6/,-0.4404,Negative,Negative,0.585077585201523,3,0.9330220594709872,1,0.0031418689617666
57,"“He's like a drug for you, Bella.”",he like drug bella,Stephenie Meyer,"drug, romance, simile",https://quotes.toscrape.com/page/6/,0.3612,Positive,Positive,0.6451161891836761,3,0.9135816753756888,3,0.086614359115159
58,“There is no friend as loyal as a book.”,friend loyal book,Ernest Hemingway,"books, friends, novelist-quotes",https://quotes.toscrape.com/page/6/,0.743,Positive,Positive,0.2556425721014864,1,0.8863218109914773,3,0.318078292038834
59,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",one door happiness close another open often look long closed door see one opened u,Helen Keller,inspirational,https://quotes.toscrape.com/page/6/,0.5574,Positive,Positive,0.6091247818656742,3,0.9753155798067934,2,0.1723538028762238
60,“Life isn't about finding yourself. Life is about creating yourself.”,life isnt finding life creating,George Bernard Shaw,"inspirational, life, yourself",https://quotes.toscrape.com/page/6/,-0.2235,Negative,Negative,0.5579884380531087,2,0.930984739242673,2,0.3796978313034475
61,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",thats problem drinking thought poured drink something bad happens drink attempt forget something good happens drink order celebrate nothing happens drink make something happen,Charles Bukowski,alcohol,https://quotes.toscrape.com/page/7/,-0.128,Negative,Negative,0.5148873612912389,2,0.9857566105901326,2,0.102059018281364
62,“You don’t forget the face of the person who was your last hope.”,forget face person last hope,Suzanne Collins,the-hunger-games,https://quotes.toscrape.com/page/7/,0.25,Positive,Positive,0.5966737454910098,1,0.9287696535482538,1,0.0582613076636406
63,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",remember madly love right kiss anytime feel like,Suzanne Collins,humor,https://quotes.toscrape.com/page/7/,0.7783,Positive,Positive,0.7101998609164673,2,0.955578461227606,1,0.195752759492457
64,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",love vulnerable love anything heart wrung possibly broken want make sure keeping intact must give one even animal wrap carefully round hobby little luxury avoid entanglement lock safe casket coffin selfishness casket safe dark motionless airless change broken become unbreakable impenetrable irredeemable love vulnerable,C.S. Lewis,love,https://quotes.toscrape.com/page/7/,0.8928,Positive,Positive,0.7147462142133263,2,0.9922702966105934,1,0.1752706433902805
65,“Not all those who wander are lost.”,wander lost,J.R.R. Tolkien,"bilbo, journey, lost, quest, travel, wander",https://quotes.toscrape.com/page/7/,-0.3182,Negative,Positive,-0.0896773224192801,3,0.8323737073140023,3,2.3827572053029026e-25
66,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",pity dead harry pity living live without love,J.K. Rowling,live-death-love,https://quotes.toscrape.com/page/7/,-0.9015,Negative,Negative,0.5139029905288799,3,0.9541657386567288,1,0.1565633854905767
67,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,nothing writing sit typewriter bleed,Ernest Hemingway,"good, writing",https://quotes.toscrape.com/page/7/,0.0,Neutral,Neutral,0.4734021973440649,2,0.9326696729264649,2,0.0422993377629433
68,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,finish day done done could blunder absurdity doubt crept forget soon tomorrow new day shall begin serenely high spirit encumbered old nonsense,Ralph Waldo Emerson,"life, regrets",https://quotes.toscrape.com/page/7/,-0.6597,Negative,Negative,0.5438055918619547,3,0.984511869595356,3,0.1402935308788926
69,“I have never let my schooling interfere with my education.”,never let schooling interfere education,Mark Twain,education,https://quotes.toscrape.com/page/7/,0.0,Neutral,Negative,-0.1784024213793196,3,0.9297633073332942,2,0.1078449613927057
70,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,heard trouble one kind come ahead come behind ive bought big bat im ready see trouble going trouble,Dr. Seuss,troubles,https://quotes.toscrape.com/page/7/,-0.296,Negative,Negative,0.6138786761826636,1,0.9811161539738552,2,0.2061803394052961
71,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,flower every time thought youi could walk garden forever,Alfred Tennyson,"friendship, love",https://quotes.toscrape.com/page/8/,0.0,Neutral,Positive,-0.0719721547654659,3,0.9620885841623982,1,0.0523511565859076
72,“Some people never go crazy. What truly horrible lives they must lead.”,people never go crazy truly horrible life must lead,Charles Bukowski,humor,https://quotes.toscrape.com/page/8/,-0.5954,Negative,Negative,0.4794834011195679,1,0.961096841059954,2,0.2166263243507378
73,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",trouble open mind course people insist coming along trying put thing,Terry Pratchett,"humor, open-mind, thinking",https://quotes.toscrape.com/page/8/,-0.4019,Negative,Negative,0.5396312944097408,1,0.9684569492550734,1,0.0921741819710104
74,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",think left think right think low think high oh think think try,Dr. Seuss,"humor, philosophy",https://quotes.toscrape.com/page/8/,-0.2732,Negative,Negative,0.4698385270641388,2,0.9713296860762712,1,0.1228495331544936
75,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",really knock book youre done reading wish author wrote terrific friend could call phone whenever felt like doesnt happen much though,J.D. Salinger,"authors, books, literature, reading, writing",https://quotes.toscrape.com/page/8/,0.8885,Positive,Positive,0.6704959877828518,1,0.9834696535336052,3,0.2617861867766973
76,“The reason I talk to myself is because I’m the only one whose answers I accept.”,reason talk one whose answer accept,George Carlin,"humor, insanity, lies, lying, self-indulgence, truth",https://quotes.toscrape.com/page/8/,0.3818,Positive,Positive,0.638618426608542,3,0.9437572513951868,2,0.126786955617573
77,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",may say im dreamer im one hope someday youll join u world live one,John Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",https://quotes.toscrape.com/page/8/,0.6249,Positive,Positive,-0.1345162154639314,1,0.972864324879957,2,0.3154724734441897
78,“I am free of all prejudice. I hate everyone equally. ”,free prejudice hate everyone equally,W.C. Fields,"humor, sinister",https://quotes.toscrape.com/page/8/,-0.5719,Negative,Negative,0.5348890717196405,1,0.9324076185200784,3,0.076359710500057
79,“The question isn't who is going to let me; it's who is going to stop me.”,question isnt going let going stop,Ayn Rand,,https://quotes.toscrape.com/page/8/,-0.296,Negative,Negative,0.6008499836269642,1,0.9434250773924372,2,0.1759675625385773
80,“′Classic′ - a book which people praise and don't read.”,classic book people praise dont read,Mark Twain,"books, classic, reading",https://quotes.toscrape.com/page/8/,0.5574,Positive,Positive,0.5975310117951127,2,0.9397423208472356,3,0.4104253334511577
81,“Anyone who has never made a mistake has never tried anything new.”,anyone never made mistake never tried anything new,Albert Einstein,mistakes,https://quotes.toscrape.com/page/9/,0.2584,Positive,Positive,0.604385327257136,2,0.956096869320574,3,0.0727645352884893
82,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",lady imagination rapid jump admiration love love matrimony moment,Jane Austen,"humor, love, romantic, women",https://quotes.toscrape.com/page/9/,0.9169,Positive,Positive,0.7050241135544166,2,0.9623014146608934,1,0.2254066362077953
83,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",remember time come make choice right easy remember happened boy good kind brave strayed across path lord voldemort remember cedric diggory,J.K. Rowling,integrity,https://quotes.toscrape.com/page/9/,0.9118,Positive,Positive,0.668370458976902,1,0.983699714721569,1,0.1015594916518642
84,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",declare enjoyment like reading much sooner one tire thing book house shall miserable excellent library,Jane Austen,"books, library, reading",https://quotes.toscrape.com/page/9/,0.765,Positive,Positive,0.6588310203814547,2,0.9765494030879605,3,0.2601185673853881
85,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",people really love still fewer think well see world dissatisfied every day confirms belief inconsistency human character little dependence placed appearance merit sense,Jane Austen,"elizabeth-bennet, jane-austen",https://quotes.toscrape.com/page/9/,0.7778,Positive,Positive,0.6610290509334771,2,0.984958269975414,1,0.192879370237113
86,“Some day you will be old enough to start reading fairy tales again.”,day old enough start reading fairy tale,C.S. Lewis,"age, fairytales, growing-up",https://quotes.toscrape.com/page/9/,0.0,Neutral,Neutral,0.4981170748309518,2,0.950670019171396,3,0.3995602814371103
87,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,necessarily doubting god best u wondering painful best turn,C.S. Lewis,god,https://quotes.toscrape.com/page/9/,0.7351,Positive,Positive,0.6466992319567801,1,0.9580538949232164,2,0.0125777550064673
88,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,fear death follows fear life man life fully prepared die time,Mark Twain,"death, life",https://quotes.toscrape.com/page/9/,-0.9229,Negative,Negative,-0.01805002820993,3,0.9681670931202988,2,0.4303922051588557
89,“A lie can travel half way around the world while the truth is putting on its shoes.”,lie travel half way around world truth putting shoe,Mark Twain,"misattributed-mark-twain, truth",https://quotes.toscrape.com/page/9/,0.3182,Positive,Positive,0.6899771502888079,3,0.9616069054530324,2,0.0776056668724194
90,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",believe christianity believe sun risen see see everything else,C.S. Lewis,"christianity, faith, religion, sun",https://quotes.toscrape.com/page/9/,0.0,Neutral,Neutral,0.4854926657929299,1,0.962258529063268,2,0.1089999907165077
91,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth dumbledore sighed beautiful terrible thing therefore treated great caution,J.K. Rowling,truth,https://quotes.toscrape.com/page/10/,0.802,Positive,Positive,0.6949510435277761,2,0.9651574157807452,1,0.1127948761432951
92,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",im one thats got die time die let live life way want,Jimi Hendrix,"death, life",https://quotes.toscrape.com/page/10/,-0.8176,Negative,Negative,0.6549889187510491,2,0.9703315128072684,2,0.5707230681768001
93,“To die will be an awfully big adventure.”,die awfully big adventure,J.M. Barrie,"adventure, love",https://quotes.toscrape.com/page/10/,-0.323,Negative,Negative,0.6155811191914797,2,0.912339734009726,2,0.1679699337947075
94,“It takes courage to grow up and become who you really are.”,take courage grow become really,E.E. Cummings,courage,https://quotes.toscrape.com/page/10/,0.4939,Positive,Positive,0.6619562418649771,2,0.9300204845543782,1,0.0423545651197541
95,“But better to get hurt by the truth than comforted with a lie.”,better get hurt truth comforted lie,Khaled Hosseini,life,https://quotes.toscrape.com/page/10/,0.5574,Positive,Positive,0.6908179668262706,3,0.942137114355046,1,0.0720689679922049
96,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,never really understand person consider thing point view climb inside skin walk around,Harper Lee,better-life-empathy,https://quotes.toscrape.com/page/10/,0.0,Neutral,Positive,-0.1483517003148657,3,0.973188927842422,3,0.1151307117581148
