Vehicle_ID,Model,Year,BodyStyle,Platform,DedicatedBEV,Manufacturer,Origin,Market,Primary_Body_Style,Model_Age_Years,Launch_Era,Region,Is_Dedicated_BEV,Manufacturer_Group,Is_SUV_Crossover
WIKI1101,Peugeot e-308,2022,Hatchback,EMP2 V3,No,Stellantis,France,Global,Hatchback,4,2020-2022 (Mainstream),Europe,0.0,Stellantis,0
WIKI1102,Peugeot e-3008,2024,Crossover SUV,STLA Medium,No,Stellantis,France,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1103,Peugeot e-408,2024,Crossover SUV,EMP2 V3,No,Stellantis,France,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1104,Peugeot e-5008,2024,Crossover SUV,STLA Medium,No,Stellantis,France,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,0.0,Stellantis,1
WIKI1105,Polestar 2,2020,Liftback,CMA,Yes,Volvo Cars,Sweden,Global,Liftback,6,2020-2022 (Mainstream),Europe,1.0,Geely Group,0
WIKI1106,Polestar 3,2024,Crossover SUV,SPA2,Yes,Volvo Cars,Sweden,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,Geely Group,1
WIKI1107,Polestar 4,2023,Crossover SUV,SEA,Yes,Volvo Cars,Sweden,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,1.0,Geely Group,1
WIKI1108,Porsche Cayenne,2026,Crossover SUV,PPE,Yes,Porsche,Germany,Global,Crossover SUV,0,2025-2026 (Latest),Europe,1.0,Porsche,1
WIKI1109,Porsche Macan,2024,Crossover SUV,PPE,Yes,Porsche,Germany,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,Porsche,1
WIKI1110,Porsche Taycan,2019,Sedan and shooting brake,J1,Yes,Porsche,Germany,Global,Sedan,7,2016-2019 (Growth),Europe,1.0,Porsche,0
WIKI1111,Renault 4 E-Tech,2025,Crossover SUV,AmpR Small,Yes,Renault,France,Global,Crossover SUV,1,2025-2026 (Latest),Europe,1.0,Renault,1
WIKI1112,Renault 5 E-Tech,2024,Hatchback,AmpR Small,Yes,Renault,France,Global,Hatchback,2,2023-2024 (Acceleration),Europe,1.0,Renault,0
WIKI1113,Renault Megane E-Tech Electric,2022,Crossover SUV,AmpR Medium,Yes,Renault,France,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,1.0,Renault,1
WIKI1114,Renault Scenic E-Tech,2024,Crossover SUV,AmpR Medium,Yes,Renault,France,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,Renault,1
WIKI1115,Rimac Nevera,2021,Coupe,,Yes,Rimac Automobili,Croatia,Global,Coupe,5,2020-2022 (Mainstream),Europe,1.0,Rimac Automobili,0
WIKI1116,Rivian R1S,2022,SUV,,Yes,Rivian,United States,Global,SUV,4,2020-2022 (Mainstream),North America,1.0,Rivian,1
WIKI1117,Rivian R1T,2021,Pickup truck,,Yes,Rivian,United States,Global,Pickup truck,5,2020-2022 (Mainstream),North America,1.0,Rivian,0
WIKI1118,Rivian R2,2026,SUV,,Yes,Rivian,United States,Global,SUV,0,2025-2026 (Latest),North America,1.0,Rivian,1
WIKI1119,Rolls-Royce Spectre,2023,Coupe,Architecture of Luxury,Yes,Rolls-Royce,United Kingdom,Global,Coupe,3,2023-2024 (Acceleration),Europe,1.0,Rolls-Royce,0
WIKI1120,Skoda Enyaq,2020,Crossover SUV,MEB,Yes,Skoda Auto,Czech Republic,Global,Crossover SUV,6,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,1
WIKI1121,Skoda Elroq,2025,Crossover SUV,MEB,Yes,Skoda Auto,Czech Republic,Global,Crossover SUV,1,2025-2026 (Latest),Europe,1.0,Volkswagen Group,1
WIKI1122,Smart #1,2022,Crossover SUV,SEA2,Yes,Smart Automobile (produced by Geely),Germany,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,1.0,Geely Group,1
WIKI1123,Smart #3,2023,Crossover SUV,SEA2,Yes,Smart Automobile (produced by Geely),Germany,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,1.0,Geely Group,1
WIKI1124,Smart #5,2024,Crossover SUV,PMA2+,Yes,Smart Automobile (produced by Geely),Germany,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,Geely Group,1
WIKI1125,Subaru Solterra,2022,Crossover SUV,e-TNGA/e-SGP,Yes,Subaru (produced by Toyota),Japan,Global,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,1.0,Toyota Group,1
WIKI1126,Suzuki e Vitara,2025,Crossover SUV,Heartect-e,Yes,Suzuki,Japan,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,1.0,Suzuki,1
WIKI1127,Tata Nexon.ev,2020,Crossover SUV,,No,Tata Motors Passenger Vehicles,India,Global,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,0.0,Tata Motors Passenger Vehicles,1
WIKI1128,Tata Punch.ev,2024,Crossover SUV,Acti.ev,Yes,Tata Motors Passenger Vehicles,India,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,Tata Motors Passenger Vehicles,1
WIKI1129,Tata Harrier.ev,2024,Crossover SUV,Acti.ev,Yes,Tata Motors Passenger Vehicles,India,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,Tata Motors Passenger Vehicles,1
WIKI1130,Tata Curvv.ev,2024,Crossover SUV,Acti.ev,Yes,Tata Motors Passenger Vehicles,India,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,Tata Motors Passenger Vehicles,1
WIKI1131,Tata Tiago.ev,2022,Hatchback,,No,Tata Motors Passenger Vehicles,India,Global,Hatchback,4,2020-2022 (Mainstream),Asia-Pacific,0.0,Tata Motors Passenger Vehicles,0
WIKI1132,Tata Tigor EV,2022,Sedan,,No,Tata Motors Passenger Vehicles,India,Global,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,0.0,Tata Motors Passenger Vehicles,0
WIKI1133,Tesla Cybertruck,2023,Pickup,,Yes,"Tesla, Inc.",United States,Global,Pickup,3,2023-2024 (Acceleration),North America,1.0,"Tesla, Inc.",0
WIKI1134,Tesla Model 3,2016,Sedan,Model 3,Yes,"Tesla, Inc.",United States,Global,Sedan,10,2016-2019 (Growth),North America,1.0,"Tesla, Inc.",0
WIKI1135,Tesla Model Y,2020,Crossover SUV,Model 3,Yes,"Tesla, Inc.",United States,Global,Crossover SUV,6,2020-2022 (Mainstream),North America,1.0,"Tesla, Inc.",1
WIKI1136,Toyota bZ4X/bZ,2022,Crossover SUV,e-TNGA,Yes,Toyota,Japan,Global,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,1.0,Toyota Group,1
WIKI1137,Toyota C-HR+/C-HR,2025,Crossover SUV,e-TNGA,Yes,Toyota,Japan,Global,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,1.0,Toyota Group,1
WIKI1138,VinFast VF e34,2021,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,5,2020-2022 (Mainstream),Asia-Pacific,1.0,VinFast,1
WIKI1139,VinFast VF 3,2024,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,VinFast,1
WIKI1140,VinFast VF 5,2023,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,1.0,VinFast,1
WIKI1141,VinFast VF 6,2024,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,VinFast,1
WIKI1142,VinFast VF 7,2024,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,1.0,VinFast,1
WIKI1143,VinFast VF 8,2022,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,1.0,VinFast,1
WIKI1144,VinFast VF 9,2023,Crossover SUV,,Yes,VinFast,Vietnam,Global,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,1.0,VinFast,1
WIKI1145,Volkswagen ID.3,2020,Hatchback,MEB,Yes,Volkswagen,Germany,Global,Hatchback,6,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,0
WIKI1146,Volkswagen ID.4,2020,Crossover SUV,MEB,Yes,Volkswagen,Germany,Global,Crossover SUV,6,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,1
WIKI1147,Volkswagen ID.5,2022,Crossover SUV,MEB,Yes,Volkswagen,Germany,Global,Crossover SUV,4,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,1
WIKI1148,Volkswagen ID.7,2023,Liftback,MEB,Yes,Volkswagen,Germany,Global,Liftback,3,2023-2024 (Acceleration),Europe,1.0,Volkswagen Group,0
WIKI1149,Volkswagen ID. Buzz,2022,MPV/minivan,MEB,Yes,Volkswagen,Germany,Global,MPV,4,2020-2022 (Mainstream),Europe,1.0,Volkswagen Group,0
WIKI1150,Volvo EC40,2021,Crossover SUV,CMA,No,Volvo Cars,Sweden,Global,Crossover SUV,5,2020-2022 (Mainstream),Europe,0.0,Geely Group,1
WIKI1151,Volvo ES90,2025,Liftback,SPA2,Yes,Volvo Cars,Sweden,Global,Liftback,1,2025-2026 (Latest),Europe,1.0,Geely Group,0
WIKI1152,Volvo EX30,2023,Crossover SUV,SEA,Yes,Volvo Cars,Sweden,Global,Crossover SUV,3,2023-2024 (Acceleration),Europe,1.0,Geely Group,1
WIKI1153,Volvo EX40,2020,Crossover SUV,CMA,No,Volvo Cars,Sweden,Global,Crossover SUV,6,2020-2022 (Mainstream),Europe,0.0,Geely Group,1
